title,link,Processed
Quốc lộ 14 sụt lún một năm trước do 'mưa đột biến',https://vnexpress.net/quoc-lo-14-sut-lun-mot-nam-truoc-do-mua-dot-bien-4786218.html,1
Phan Thiết mở rộng đường huyết mạch,https://vnexpress.net/phan-thiet-mo-rong-duong-huyet-mach-4786133.html,1
Nam dân quân tự vệ tử vong sau tiếng nổ,https://vnexpress.net/nam-dan-quan-tu-ve-tu-vong-sau-tieng-no-4786249.html,1
20 năm TP HCM chưa thể thu hồi 1.200 tỷ đồng tạm ứng,https://vnexpress.net/20-nam-tp-hcm-chua-the-thu-hoi-1-200-ty-dong-tam-ung-4786194.html,1
"Tiểu sử tân Chánh án TAND Tối cao, Viện trưởng VKSND Tối cao",https://vnexpress.net/tieu-su-tan-chanh-an-tand-toi-cao-vien-truong-vksnd-toi-cao-4786157.html,1
Trung tâm đào tạo cán bộ trăm tỷ đồng bị bỏ hoang,https://vnexpress.net/trung-tam-dao-tao-can-bo-tram-ty-dong-bi-bo-hoang-4785962.html,1
Sập sàn tòa nhà ở trung tâm TP HCM,https://vnexpress.net/sap-san-toa-nha-o-trung-tam-tp-hcm-4786193.html,1
Phát hiện khu cư trú người tiền sử niên đại 8.000 năm ở Bắc Kạn,https://vnexpress.net/phat-hien-khu-cu-tru-nguoi-tien-su-nien-dai-8-000-nam-o-bac-kan-4786061.html,1
Ông Rah Lan Chung làm Chủ tịch Gia Lai,https://vnexpress.net/ong-rah-lan-chung-lam-chu-tich-gia-lai-4784337.html,1
Thí điểm cấp phiếu lý lịch tư pháp qua VNeID trên cả nước từ 1/10,https://vnexpress.net/thi-diem-cap-phieu-ly-lich-tu-phap-qua-vneid-tren-ca-nuoc-tu-1-10-4786036.html,1
Đường 800 tỷ đồng ở Bảo Lộc chưa sử dụng đã tan nát,https://vnexpress.net/duong-800-ty-dong-o-bao-loc-chua-su-dung-da-tan-nat-4785852.html,1
Thế bế tắc của ruộng lúa miền Tây,https://vnexpress.net/the-be-tac-cua-ruong-lua-mien-tay-4785191.html,0
Gần 1.000 tỷ đồng nâng cấp đường nối Long An - TP HCM,https://vnexpress.net/gan-1-000-ty-dong-nang-cap-duong-noi-long-an-tp-hcm-4785967.html,1
Tài xế chạy ngược chiều trên làn 120 km/h cao tốc Hà Nội - Hải Phòng,https://vnexpress.net/tai-xe-chay-nguoc-chieu-tren-lan-120-km-h-cao-toc-ha-noi-hai-phong-4785944.html,1
Mưa lớn cuốn trôi ôtô ở Bình Dương,https://vnexpress.net/mua-lon-cuon-troi-oto-o-binh-duong-4785945.html,1
"Tàu vướng dây cáp, đường TP HCM ùn tắc kéo dài",https://vnexpress.net/tau-vuong-day-cap-duong-tp-hcm-un-tac-keo-dai-4785935.html,1
Người đàn ông suýt bị thang máy kẹp,https://vnexpress.net/nguoi-dan-ong-suyt-bi-thang-may-kep-4785929.html,1
"Nhiều tổ chức, cá nhân bị kỷ luật do sai phạm ở dự án điện gió",https://vnexpress.net/nhieu-to-chuc-ca-nhan-bi-ky-luat-do-sai-pham-o-du-an-dien-gio-4785813.html,1
